#OTU ID	F.1.A_F	F.2.A_F	F.3.A_F	F.4.A_F	F.5.A_F	F.6.A_F	F.7.A_F	F.8.A_F	F.9.A_F	F.10.A_F	F.11.A_F	F.12.A_F	F.13.A_F	F.14.A_F	F.15.A_F	F.1.M_F	F.2.M_F	F.3.M_F	F.4.M_F	F.5.M_F	F.6.M_F	F.7.M_F	F.8.M_F	F.9.M_F	F.11.M_F	F.12.M_F	F.13.M_F	F.14.M_F	F.15.M_F	F.1.O_F	F.2.O_F	F.3.O_F	F.4.O_F	F.5.O_F	F.6.O_F	F.7.O_F	F.8.O_F	F.9.O_F	F.10.O_F	F.11.O_F	F.12.O_F	F.13.O_F	F.14.O_F	F.15.O_F	S.1.A_F	S.2.A_F	S.3.A_F	S.4.A_F	S.5.A_F	S.6.A_F	S.7.A_F	S.8.A_F	S.9.A_F	S.10.A_F	S.11.A_F	S.12.A_F	S.13.A_F	S.14.A_F	S.15.A_F	S.1.M_F	S.2.M_F	S.3.M_F	S.4.M_F	S.5.M_F	S.6.M_F	S.7.M_F	S.8.M_F	S.9.M_F	S.10.M_F	S.11.M_F	S.12.M_F	S.13.M_F	S.14.M_F	S.15.M_F	S.1.O_F	S.2.O_F	S.3.O_F	S.4.O_F	S.5.O_F	S.6.O_F	S.7.O_F	S.8.O_F	S.9.O_F	S.10.O_F	S.11.O_F	S.12.O_F	S.13.O_F	S.14.O_F	S.15.O_F	taxonomy
2b66b791b0f0d7cb7c5ee2c694b99c7b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	XX;XX;PP;Tylenchulidae;Paratylenchus;Paratylenchus_cf._neoamblicephalus;2b66b791b0f0d7cb7c5ee2c694b99c7b
f9cc763f0a927a9ea8d1d92f1635fb9f	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	XX;XX;PP;Merliniidae;Amplimerlinius;Amplimerlinius_icarus;f9cc763f0a927a9ea8d1d92f1635fb9f
58f34646edb61d1051ae8fd074a92865	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	XX;XX;PP;Merliniidae;Geocenamus;Geocenamus_quadrifer;58f34646edb61d1051ae8fd074a92865
6786a25dd4854b4f90121e1f3dde007b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	XX;XX;RA;Tylenchidae;Ecphyadophora;Ecphyadophora_tenuissima;6786a25dd4854b4f90121e1f3dde007b
ebe51c09b55c4f28ca6108cd212597a9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	XX;XX;BF;Cephalobidae;Heterocephalobus;Heterocephalobus_elongatus;ebe51c09b55c4f28ca6108cd212597a9
7806c0980357013d9c1a7961d881da8c	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	XX;XX;BF;Cephalobidae;Pseudacrobeles;Pseudacrobeles_variabilis;7806c0980357013d9c1a7961d881da8c
d179ad0e9c0f810b22a240b4e2eb7391	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	XX;XX;BF;Chronogastridae;Chronogaster;Chronogaster_typica;d179ad0e9c0f810b22a240b4e2eb7391
6eaff55059169551204f1e289cfa55a5	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	XX;XX;BF;Monhysteridae;Geomonhystera;Geomonhystera_sp._1998;6eaff55059169551204f1e289cfa55a5
607cfe6a1ee9a442a3a2458e2c11081a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	XX;XX;PP;Criconematidae;Ogma;Ogma_cobbi;607cfe6a1ee9a442a3a2458e2c11081a
bd2e554342f6e4eac8c1eab61e8c85f4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	XX;XX;PP;Meloidogynidae;Meloidogyne;Meloidogyne_javanica_root.knot_nematode;bd2e554342f6e4eac8c1eab61e8c85f4
